=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-9-8_0-13-0
====================================================================================
0:13:0 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
0:13:0 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
0:13:0 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
0:13:0 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
0:13:0 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
0:13:0 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
0:13:0 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
0:13:0 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
0:13:0 | Building Sets Loaded: 1
0:13:0 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
0:13:0 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
0:27:20 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
0:37:12 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Bwall)
0:37:12 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Bwall)
0:37:17 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Bwall)
0:44:26 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Half_Wall_Kit)
0:45:17 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (TerritoryFlagKit)
0:46:10 | Admin "Boogahadeen" (steamId=76561199205606578) built part frame at position: <10594.661133, 6.000012, 2184.888672>
0:46:11 | Admin "Boogahadeen" (steamId=76561199205606578) built part t1_wall_logs_horizontal at position: <10594.661133, 6.000012, 2184.888672>
0:46:12 | Admin "Boogahadeen" (steamId=76561199205606578) built part t2_metal at position: <10594.661133, 6.000012, 2184.888672>
0:46:29 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingChargeHeavy)
0:46:30 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingCharge)
0:47:56 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Door_Kit)
0:48:15 | Admin "Boogahadeen" (steamId=76561199205606578) built part frame at position: <10588.774414, 5.999987, 2185.079590>
0:48:16 | Admin "Boogahadeen" (steamId=76561199205606578) built part t1_wall_planks at position: <10588.774414, 5.999987, 2185.079590>
0:48:17 | Admin "Boogahadeen" (steamId=76561199205606578) built part t1_door at position: <10588.774414, 5.999987, 2185.079590>
0:52:28 | "Boogahadeen" (steamid=76561199205606578) deleted object "Flag_DayZ" (pos=<10591.327148, 9.623362, 2180.335205>)
0:52:34 | "Boogahadeen" (steamid=76561199205606578) deleted object "BBP_BDoor" (pos=<10588.774414, 5.999987, 2185.079590>)
0:52:36 | "Boogahadeen" (steamid=76561199205606578) deleted object "BBP_Half_Bwall" (pos=<10594.661133, 6.000012, 2184.888672>)
0:52:43 | "Boogahadeen" (steamid=76561199205606578) deleted object "HDSN_BreachingChargeHeavy" (pos=<10592.277344, 6.022286, 2189.777588>)
0:56:10 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Window_Kit)
0:56:22 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_Gate_Kit)
0:56:32 | Admin "Boogahadeen" (steamId=76561199205606578) built part frame at position: <10659.615234, 5.786882, 2197.209961>
0:56:37 | Admin "Boogahadeen" (steamId=76561199205606578) built part t1_wall_logs_horizontal at position: <10659.615234, 5.786882, 2197.209961>
0:56:38 | Admin "Boogahadeen" (steamId=76561199205606578) built part t2_metal at position: <10659.615234, 5.786882, 2197.209961>
0:57:0 | Admin "Boogahadeen" (steamId=76561199205606578) built part frame at position: <10653.038086, 5.850241, 2202.139893>
0:57:2 | Admin "Boogahadeen" (steamId=76561199205606578) built part window_bars at position: <10653.038086, 5.850241, 2202.139893>
0:57:2 | Admin "Boogahadeen" (steamId=76561199205606578) built part t1_wall_planks at position: <10653.038086, 5.850241, 2202.139893>
0:57:3 | Admin "Boogahadeen" (steamId=76561199205606578) built part t1_door at position: <10653.038086, 5.850241, 2202.139893>
0:57:8 | Admin "Boogahadeen" (steamId=76561199205606578) built part t2_door at position: <10653.038086, 5.850241, 2202.139893>
0:57:9 | Admin "Boogahadeen" (steamId=76561199205606578) built part t2_metal_2 at position: <10653.038086, 5.850241, 2202.139893>
0:58:14 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingCharge)
0:58:15 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingChargeHeavy)
1:3:16 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingCharge)
1:12:45 | "Boogahadeen" (steamid=76561199205606578) gave godmode to (steamid=76561199205606578)
1:12:46 | "Boogahadeen" (steamid=76561199205606578) gave unlimited ammo to (steamid=76561199205606578)
1:32:37 | Player "Boogahadeen" (steamId=76561199205606578) initiated disconnect process...
