=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-3-22_23-8-58
====================================================================================
23:8:58 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:8:58 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
23:8:58 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
23:8:58 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
23:8:58 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:8:58 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
23:8:58 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:8:58 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:8:58 | [PermissionManager] Adding Super Admin (76561199205606578)
23:8:58 | [PermissionManager] Loaded UserGroups.json
23:8:58 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:8:58 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:8:58 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:8:58 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:8:58 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:8:58 | Building Sets Loaded: 0
23:8:58 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
23:8:58 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
23:15:36 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
23:16:24 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<890.085999, 364.782349, 10749.500000>)
23:16:24 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=890.086,0,10749.5)
23:16:50 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<662.453979, 410.234375, 10690.299805>)
23:16:50 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=662.454,0,10690.3)
23:16:52 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<491.209991, 424.990540, 10645.099609>)
23:16:52 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=491.21,0,10645.1)
23:16:54 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<572.880981, 409.941650, 10542.400391>)
23:16:54 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=572.881,0,10542.4)
23:18:58 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<575.515991, 408.399353, 10516.000000>)
23:18:58 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=575.516,0,10516)
23:20:0 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<939.080994, 358.730438, 10763.700195>)
23:20:0 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=939.081,0,10763.7)
23:20:39 | "Boogahadeen" (steamid=76561199205606578) gave godmode to (steamid=76561199205606578)
23:20:40 | "Boogahadeen" (steamid=76561199205606578) gave unlimited ammo to (steamid=76561199205606578)
23:21:0 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingCharge)
23:21:4 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_BreachingChargeHeavy)
23:23:13 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (HDSN_Detonator)
23:23:34 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BBP_TapeMeasure)
23:48:26 | Player "Boogahadeen" (steamId=76561199205606578) initiated disconnect process...
