=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-3-16_17-9-38
====================================================================================
17:9:38 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
17:9:38 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
17:9:38 | [PermissionManager] Perm (MenuBansManager) has been registered!
17:9:38 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
17:9:38 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
17:9:38 | [PermissionManager] Perm (MenuWebHooks) has been registered!
17:9:38 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
17:9:38 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
17:9:38 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
17:9:38 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
17:9:38 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
17:9:38 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
17:9:38 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
17:9:38 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
17:9:38 | [PermissionManager] Adding Super Admin (76561199205606578)
17:9:38 | [PermissionManager] Loaded UserGroups.json
17:9:38 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
17:9:38 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
17:9:38 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
17:9:38 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
17:9:38 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
17:9:38 | Building Sets Loaded: 0
17:9:38 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
17:9:38 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
17:13:17 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
17:13:41 | "Boogahadeen" (steamid=76561199205606578) executed kill command on: "76561199205606578"
17:16:58 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=Vybor)
17:17:15 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<4842.250000, 338.950012, 10316.500000>)
17:17:15 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=4842.25,0,10316.5)
17:59:44 | Player "Phill_Swift" (steamId=76561199569546626) connected to server!
18:12:36 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (SNAFUAR15_SPR_Black_GUN)
18:12:37 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (SNAFUAR15_SPR_100RND_Mag)
18:12:45 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_CAR15_Bttstk)
18:12:46 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_CAR15_Handguard)
18:16:29 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (SNAFU_SADAR_Stock)
18:17:16 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_CAR15)
18:29:44 | Player "Phill_Swift" (steamId=76561199569546626) initiated disconnect process...
18:29:47 | Player "Phill_Swift" (steamId=76561199569546626) disconnected early from server (EXIT NOW).
18:29:59 | Player "Phill_Swift" (steamId=76561199569546626) disconnected from server.
18:32:13 | Player "Phill_Swift" (steamId=76561199569546626) connected to server!
18:32:53 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (PokemonCard_Box3i)
18:33:25 | Player "Phill_Swift" (steamId=76561199569546626) disconnected from server.
18:33:25 | Player "Phill_Swift" (steamId=76561199569546626) initiated disconnect process...
18:39:0 | Player "Phill_Swift" (steamId=76561199569546626) connected to server!
19:3:50 | "Boogahadeen" (steamid=76561199205606578) started to spectate player: "76561199569546626"
19:37:3 | Player "Phill_Swift" (steamId=76561199569546626) initiated disconnect process...
19:37:9 | Player "Phill_Swift" (steamId=76561199569546626) disconnected early from server (EXIT NOW).
19:37:18 | Player "Phill_Swift" (steamId=76561199569546626) disconnected from server.
